Epic Name,Stage Name,Workstream,Week #,Description,Category,Resource,Base Hours,Factor,Rate,Size,Complexity,Confidence,Comments,Adjusted Hours
1-Quick Wins,3-Governance,PM,9,Executive checkpoint,Governance,Senior Architect,4,1,250,Small,Medium,High,Decisions; guardrails; approvals,5.81
1-Quick Wins,4-Foundations,AI Support Agent Pilot,9,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,1,1,160,Small,Medium,Medium,Review disclosures; legal text; escalation approval matrix,1.45
1-Quick Wins,3-Governance,PM,10,Executive checkpoint,Governance,Senior Architect,4,1,250,Small,Medium,High,Decisions; guardrails; approvals,5.81
1-Quick Wins,4-Foundations,AI Support Agent Pilot,10,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,2,1,160,Small,Medium,Medium,Policy tuning from pilot; exception handling thresholds,2.9
1-Quick Wins,3-Governance,PM,11,Executive checkpoint,Governance,Senior Architect,4,1,250,Small,Medium,High,Decisions; guardrails; approvals,5.81
1-Quick Wins,4-Foundations,AI Support Agent Pilot,11,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,1,1,160,Small,Small,Medium,Approve training materials; rollout comms; BAU ownership,1.45
1-Quick Wins,4-Foundations,Cash Reconciliation,7,Automated cash reconciliation (RPA),Operations,Ops Consultant (RPA),16,1,180,Medium,Small,High,Process discovery; map reconciliation steps; bot credential setup; exception taxonomy,37.75
1-Quick Wins,4-Foundations,Cash Reconciliation,8,Automated cash reconciliation (RPA),Operations,Ops Consultant (RPA),24,1,180,Medium,Medium,Medium,Build bots; unit tests; error handling; pilot on sample accounts; refine thresholds,39.2
1-Quick Wins,4-Foundations,AI Support Agent Pilot,8,AI chatbot pilot for Tier‑1 support,AI Enablement,Ops Consultant (RPA),5,1,180,Small,Medium,Medium,Define handoff criteria; escalation paths; triage workflows,7.26
1-Quick Wins,4-Foundations,Cash Reconciliation,9,Automated cash reconciliation (RPA),Operations,Ops Consultant (RPA),16,1,180,Medium,Small,Medium,Pilot expansion; SOP/runbook finalization; train ops; prepare rollout plan,39.2
1-Quick Wins,4-Foundations,AI Support Agent Pilot,9,AI chatbot pilot for Tier‑1 support,AI Enablement,Ops Consultant (RPA),5,1,180,Small,Medium,Medium,Test escalation; refine SLAs; integrate with ops dashboards,7.26
1-Quick Wins,4-Foundations,AI Support Agent Pilot,10,AI chatbot pilot for Tier‑1 support,AI Enablement,Ops Consultant (RPA),4,1,180,Small,Small,High,Pilot runbook; incident drills; update SOPs,7.26
1-Quick Wins,4-Foundations,AI Support Agent Pilot,11,AI chatbot pilot for Tier‑1 support,AI Enablement,Ops Consultant (RPA),4,1,180,Small,Medium,High,Finalize SOPs; training; production readiness checklist,7.26
0-Planning and Readiness,1-Executive AI Bootcamp,Leadership,1,Boot camp delivery (morning),Governance,Principal,4,2,275,Small,Small,High,Art of the possible; regulatory/ethics overview; demonstrate finance/service scenarios,11.62
0-Planning and Readiness,1-Executive AI Bootcamp,Leadership,1,Boot camp delivery (afternoon),Governance,Principal,4,2,250,Small,Small,High,Hands‑on process redesign; identify automation candidates; adoption playbooks,11.62
0-Planning and Readiness,Program Oversight,PM,1,Project Kickoff,Program Oversight,Principal,3,2,180,Small,Small,High,"Prepare, delvier and review project kickoff",6
1-Quick Wins,Program Oversight,Closeout,12,Epic Closeout Workshop,Governance,Principal,6,2,400,Small,Small,Medium,,
0-Planning and Readiness,Program Oversight,PM,0,Prelaunch Planning,Program Oversight,Program Manager,12,1,180,Small,Small,High,"Staffing, communications, develop initial documents",12
0-Planning and Readiness,Program Oversight,PM,1,Project Kickoff,Program Oversight,Program Manager,4,1,180,Small,Small,High,Coordinate conduct and docment project kickoff,4
0-Planning and Readiness,Program Oversight,PM,1,Weekly PMO status & risk tracking,Program Oversight,Program Manager,4,1,180,Small,Small,High,RAID upkeep; steering prep; unblockers; weekly status,8.71
0-Planning and Readiness,Program Oversight,Adoption,2,Change communications & enablement,Change & Adoption,Program Manager,2,1,150,Small,Small,High,Governance comms; stakeholder onboarding; publish decisions & next steps,5.81
0-Planning and Readiness,Program Oversight,PM,2,Weekly PMO status & risk tracking,Program Oversight,Program Manager,4,1,180,Small,Small,High,RAID upkeep; steering prep; unblockers; weekly status,8.71
0-Planning and Readiness,2-AI Usage Policy,AI Policy,3,AI Policyt Review and Finalize,Governance,Program Manager,4,1,250,Small,Small,High,Review Proposed IT Policy; gathe rfeedbac and address for final policy document,4.36
0-Planning and Readiness,Program Oversight,Adoption,3,Change communications & enablement,Change & Adoption,Program Manager,2,1,150,Small,Small,High,Governance comms; stakeholder onboarding; publish decisions & next steps,5.81
0-Planning and Readiness,Program Oversight,PM,3,Weekly PMO status & risk tracking,Program Oversight,Program Manager,4,1,180,Small,Medium,High,RAID upkeep; steering prep; unblockers; weekly status,7.26
0-Planning and Readiness,Program Oversight,Adoption,4,Change communications & enablement,Change & Adoption,Program Manager,2,1,150,Small,Small,High,Governance comms; stakeholder onboarding; publish decisions & next steps,5.81
0-Planning and Readiness,Program Oversight,PM,4,Weekly PMO status & risk tracking,Program Oversight,Program Manager,4,1,180,Small,Medium,High,RAID upkeep; steering prep; unblockers; weekly status,7.26
0-Planning and Readiness,3-Governance,SteerCo,5,Initial SteerCo Meeting,Governance,Program Manager,4,1,150,Small,Small,High,Prepare and condcut initial SteerCo meeting; capture and share results,52.27
1-Quick Wins,Program Oversight,PM,6,Weekly PMO status & risk tracking,Governance,Program Manager,2,1,180,Small,Small,High,RAID; sprint demos; status; unblockers,14.52
1-Quick Wins,Program Oversight,PM,7,Weekly PMO status & risk tracking,Governance,Program Manager,2,1,180,Small,Small,High,RAID; sprint demos; status; unblockers,14.52
1-Quick Wins,Program Oversight,PM,8,Weekly PMO status & risk tracking,Governance,Program Manager,2,1,180,Small,Small,High,RAID; sprint demos; status; unblockers,14.52
1-Quick Wins,Program Oversight,PM,9,Weekly PMO status & risk tracking,Governance,Program Manager,2,1,180,Small,Small,High,RAID; sprint demos; status; unblockers,14.52
1-Quick Wins,4-Foundations,Cash Reconciliation,9,Automated cash reconciliation (RPA),Operations,Program Manager,4,1,160,Small,Small,High,Update SOPs; training checklist; acceptance criteria; go‑live approvals,5.81
1-Quick Wins,Program Oversight,PM,10,Weekly PMO status & risk tracking,Governance,Program Manager,2,1,180,Small,Small,High,RAID; sprint demos; status; unblockers,14.52
1-Quick Wins,4-Foundations,AI Support Agent Pilot,10,AI chatbot pilot for Tier‑1 support,AI Enablement,Program Manager,8,1,200,Small,Medium,High,Pilot launch; gather feedback; tune routing; improve containment,24.68
1-Quick Wins,Program Oversight,PM,11,Weekly PMO status & risk tracking,Governance,Program Manager,2,1,180,Small,Small,High,RAID; sprint demos; status; unblockers,14.52
1-Quick Wins,Program Oversight,Closeout,12,Capture Results and Lessons Learned,Governance,Program Manager,16,1,150,Small,Small,Medium,,
0-Planning and Readiness,1-Executive AI Bootcamp,Leadership,1,Post-session synthesis & executive action log,Governance,Senior Architect,8,1,275,Small,Small,High,Consolidate findings; publish opportunity map; actionable next steps with owners,11.62
0-Planning and Readiness,2-AI Usage Policy,AI Policy,2,Gather AI Polocy Requirements,Governance,Senior Architect,16,1,250,Small,Small,High,Document review; interviews; workshop,4.36
0-Planning and Readiness,3-Governance,SteerCo,2,SteerCo Governance Charter & KPI framework,Governance,Senior Architect,40,1,275,Medium,Medium,High,Draft charter; define roles/cadence; KPI baseline & measurement plan; decisions log,58.08
0-Planning and Readiness,3-Governance,Scope,2,Finalize scope priorities and decision rights,Governance,Senior Architect,12,1,250,Small,Small,High,Executive workshops; stakeholder interviews; confirm decision rights & escalation path,17.42
0-Planning and Readiness,2-AI Usage Policy,AI Policy,3,AI Policy Development,Governance,Senior Architect,8,1,250,Small,Small,High,Draft and wrting IT Policy,4.36
0-Planning and Readiness,3-Governance,SteerCo,4,Recruit and onboard SteerCo members,Governance,Senior Architect,8,1,275,Small,Small,High,Guided by RCC on selection; 1:1 meetings to onboard RCC staff,58.08
0-Planning and Readiness,3-Governance,SteerCo,5,Initial SteerCo Meeting,Governance,Senior Architect,2,1,275,Small,Small,High,Prepare and condcut initial SteerCo meeting; capture and share results,52.27
1-Quick Wins,4-Foundations,AI Support Agent Pilot,8,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,18,1,200,Medium,Medium,Medium,Design intents; conversation flows; guardrails; integrate KB/FAQ,26.14
1-Quick Wins,4-Foundations,AI Support Agent Pilot,9,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,18,1,200,Medium,Small,Medium,Functional testing; refine intents; add fallbacks; analytics hooks,26.14
1-Quick Wins,Program Oversight,Closeout,12,Design Future Program,Governance,Senior Architect,8,1,200,Small,Small,Medium,,
1-Quick Wins,Program Oversight,Adoption,6,Change communications & enablement,Change Management,Trainer/Coach,4,1,150,Small,Small,High,Comms; champions; training schedule,8.71
1-Quick Wins,Program Oversight,Adoption,7,Change communications & enablement,Change Management,Trainer/Coach,4,1,150,Small,Small,High,Comms; champions; training schedule,8.71
1-Quick Wins,Program Oversight,Adoption,8,Change communications & enablement,Change Management,Trainer/Coach,4,1,150,Small,Small,High,Comms; champions; training schedule,8.71
1-Quick Wins,Program Oversight,Adoption,9,Change communications & enablement,Change Management,Trainer/Coach,4,1,150,Small,Small,High,Comms; champions; training schedule,8.71
1-Quick Wins,Program Oversight,Adoption,10,Change communications & enablement,Change Management,Trainer/Coach,4,1,150,Small,Small,High,Comms; champions; training schedule,8.71
1-Quick Wins,4-Foundations,AI Support Agent Pilot,11,AI chatbot pilot for Tier‑1 support,AI Enablement,Trainer/Coach,16,1,200,Medium,Medium,High,Training content; agent enablement; support playbooks; post‑pilot report,24.68
1-Quick Wins,Program Oversight,Adoption,11,Change communications & enablement,Change Management,Trainer/Coach,4,1,150,Small,Small,High,Comms; champions; training schedule,8.71
