Epic Name,Stage Name,Workstream,Week #,Description,Category,Resource,Base Hours,Factor,Rate,Size,Complexity,Confidence,Comments,Adjusted Hours
0-Planning and Readiness,3-Governance,SteerCo,5,Initial SteerCo Meeting,Governance,Program Manager,4.00,1.00,175.00,small,small,high,Prepare and conduct initial SteerCo meeting; capture and share results,4.00
1-Quick Wins,Program Oversight,PM,6,Weekly PMO status & risk tracking,Governance,Program Manager,2.00,1.00,175.00,small,small,high,RAID; sprint demos; status; unblockers,2.00
1-Quick Wins,Program Oversight,PM,7,Weekly PMO status & risk tracking,Governance,Program Manager,2.00,1.00,175.00,small,small,high,RAID; sprint demos; status; unblockers,2.00
1-Quick Wins,Program Oversight,PM,8,Weekly PMO status & risk tracking,Governance,Program Manager,2.00,1.00,175.00,small,small,high,RAID; sprint demos; status; unblockers,2.00
1-Quick Wins,Program Oversight,PM,9,Weekly PMO status & risk tracking,Governance,Program Manager,2.00,1.00,175.00,small,small,high,RAID; sprint demos; status; unblockers,2.00
1-Quick Wins,4-Foundations,Cash Reconciliation,9,Automated cash reconciliation (RPA),Operations,Program Manager,4.00,1.00,175.00,small,small,high,Update SOPs; training checklist; acceptance criteria; go‑live approvals,4.00
1-Quick Wins,Program Oversight,PM,10,Weekly PMO status & risk tracking,Governance,Program Manager,2.00,1.00,175.00,small,small,high,RAID; sprint demos; status; unblockers,2.00
1-Quick Wins,4-Foundations,AI Support Agent Pilot,10,AI chatbot pilot for Tier‑1 support,AI Enablement,Program Manager,8.00,1.00,175.00,small,medium,high,Pilot launch; gather feedback; tune routing; improve containment,8.40
1-Quick Wins,Program Oversight,PM,11,Weekly PMO status & risk tracking,Governance,Program Manager,2.00,1.00,175.00,small,small,high,RAID; sprint demos; status; unblockers,2.00
1-Quick Wins,Program Oversight,Closeout,12,Capture Results and Lessons Learned,Governance,Program Manager,16.00,1.00,175.00,small,small,medium,,17.60
0-Planning and Readiness,1-Executive AI Bootcamp,Leadership,1,Post-session synthesis & executive action log,Governance,Senior Architect,8.00,1.00,275.00,small,small,high,Consolidate findings; publish opportunity map; actionable next steps with owners,8.00
0-Planning and Readiness,2-AI Usage Policy,AI Policy,2,Gather AI Policy Requirements,Governance,Senior Architect,16.00,1.00,275.00,small,small,high,Document review; interviews; workshop,16.00
0-Planning and Readiness,3-Governance,SteerCo,2,SteerCo Governance Charter & KPI framework,Governance,Senior Architect,40.00,1.00,275.00,medium,medium,high,Draft charter; define roles/cadence; KPI baseline & measurement plan; decisions log,44.10
0-Planning and Readiness,3-Governance,Scope,2,Finalize scope priorities and decision rights,Governance,Senior Architect,12.00,1.00,275.00,small,small,high,Executive workshops; stakeholder interviews; confirm decision rights & escalation path,12.00
0-Planning and Readiness,2-AI Usage Policy,AI Policy,3,AI Policy Development,Governance,Senior Architect,8.00,1.00,275.00,small,small,high,Draft and writing IT Policy,8.00
0-Planning and Readiness,3-Governance,SteerCo,4,Recruit and onboard SteerCo members,Governance,Senior Architect,8.00,1.00,275.00,small,small,high,Guided by RCC on selection; 1:1 meetings to onboard RCC staff,8.00
0-Planning and Readiness,3-Governance,SteerCo,5,Initial SteerCo Meeting,Governance,Senior Architect,2.00,1.00,275.00,small,small,high,Prepare and conduct initial SteerCo meeting; capture and share results,2.00
1-Quick Wins,4-Foundations,AI Support Agent Pilot,8,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,18.00,1.00,275.00,medium,medium,medium,Design intents; conversation flows; guardrails; integrate KB/FAQ,21.83
1-Quick Wins,4-Foundations,AI Support Agent Pilot,9,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,18.00,1.00,275.00,medium,small,medium,Functional testing; refine intents; add fallbacks; analytics hooks,20.79
1-Quick Wins,Program Oversight,Closeout,12,Design Future Program,Governance,Senior Architect,8.00,1.00,275.00,small,small,medium,,8.80
1-Quick Wins,Program Oversight,Adoption,6,Change communications & orchestration,Change Management,Trainer/Coach,4.00,1.00,150.00,small,small,high,Comms; champions; training schedule,4.00
1-Quick Wins,Program Oversight,Adoption,7,Change communications & orchestration,Change Management,Trainer/Coach,4.00,1.00,150.00,small,small,high,Comms; champions; training schedule,4.00
1-Quick Wins,Program Oversight,Adoption,8,Change communications & orchestration,Change Management,Trainer/Coach,4.00,1.00,150.00,small,small,high,Comms; champions; training schedule,4.00
1-Quick Wins,Program Oversight,Adoption,9,Change communications & orchestration,Change Management,Trainer/Coach,4.00,1.00,150.00,small,small,high,Comms; champions; training schedule,4.00
1-Quick Wins,Program Oversight,Adoption,10,Change communications & orchestration,Change Management,Trainer/Coach,4.00,1.00,150.00,small,small,high,Comms; champions; training schedule,4.00
1-Quick Wins,4-Foundations,AI Support Agent Pilot,11,AI chatbot pilot for Tier‑1 support,AI Enablement,Trainer/Coach,16.00,1.00,150.00,medium,medium,high,Training content; agent enablement; support playbooks; post‑pilot report,17.64
1-Quick Wins,Program Oversight,Adoption,11,Change communications & orchestration,Change Management,Trainer/Coach,4.00,1.00,150.00,small,small,high,Comms; champions; training schedule,4.00
